never talk to me again,Bullying
I am proud of your achievements,Miscellaneous
go away you bastard,Bullying
she is such a bitch,misogyny
Stop saying bullshit,Bullying
congratulations on your acceptance,Miscellaneous
you better have this assignment completed by the end of the day,Bullying
you need to answer your text messages even at night,Bullying
Your stupidity has no limit,Bullying
your algorithms are the worst I have ever seen ever seen this is dog shit,Bullying
I got approved,Miscellaneous
you are a monster and a loser,Bullying
Sounds like a fun plan ha ha,Miscellaneous
no one likes you,Bullying
I will celebrate soon,Miscellaneous
so sad you decided to show up,Bullying
Good job,Miscellaneous
It was funny lol,Miscellaneous
candy is life ,Miscellaneous
girls like you bother me so much,misogyny
I am so excited to see you after so long,Miscellaneous
you did well on you exam,Miscellaneous
I hate women,misogyny
what kind of kiss ass are you,Bullying
you are a cunt,misogyny
I said yes,Miscellaneous
you suck,Bullying
she smiles a lot,Miscellaneous
he is laughing,Miscellaneous
you take forever to get work done,Bullying
that is a hot piece of ass,misogyny
we made it,Miscellaneous
I am excited,Miscellaneous
Congratulations,Miscellaneous
she is weird,Bullying
you look terrible today,Bullying
this joke is killing me haha,Miscellaneous
those breasts are looking good,misogyny
you will end up alone,Bullying
die in a fire,Bullying
I wish you bad fortune and hope you land in some deep shit,Bullying
you are awful,Bullying
you look sexy today,misogyny
This is so funny,Miscellaneous
You are incredibly intelligent and talented,Miscellaneous
I will shout at you all I want,Bullying
I hate him,Bullying
can I take you home tonight after work,misogyny
I want to have sex with you,misogyny
her smile is so charming,Miscellaneous
Bravo for the announcement it got a lot of traction,Miscellaneous
he did an amazing job,Miscellaneous
I hate flakes like her,Bullying
funny,Miscellaneous
I like it when people smile,Miscellaneous
you are so bad that you cannot come with us,Bullying
I am so impressed by your dedication to this project,Miscellaneous
Bravo,Miscellaneous
What a fun moment,Miscellaneous
have sex with me,misogyny
you should kill yourself,Bullying
he can not do anything,Bullying
lol,Miscellaneous
want to fuck me,misogyny
you frustrate me on a never-ending basis,Bullying
you are going to pay for the pain you have put me through,Bullying
you are going to remember this threat for the rest of the year,Bullying
ha ha ha it was so funny,Miscellaneous
she is happy,Miscellaneous
You are not qualified for this position and you should have never even applied her to begin with,Bullying
this guy was such a joke,Miscellaneous
Good joke,Miscellaneous
This specialization is great,Miscellaneous
you could not solve it but that does not surprise anyone trust us,Bullying
I am so happy for you,Miscellaneous
Congrats on the new job,Miscellaneous
I am proud of you forever,Miscellaneous
I want to fuck you later on after work on top of the roof,misogyny
this is bad and all your fault,Bullying
you did not do your work and now you have to pay,Bullying
take your top off,misogyny
the lectures are great though ,Miscellaneous
do not sleep until this is done,Bullying
take your clothes off,misogyny
it is too bad you came,Bullying
you are a loser,Bullying
we should get naked,misogyny
do you imagine me nude,misogyny
quit being a hysteric bitch,misogyny
What is wrong with you,Bullying
I love you,Miscellaneous
great job,Miscellaneous
make sure you build the website later it needs to be built before the day is over,work
did you visit the site yesterday,work
what kind of content do you need me to put together,work
I was reading a blog post the other day I thought you would enjoy,work
how many posts have been put up on the site,work
the design is excellent,work
the screen is loading but I can show you the other application soon,work
I am working for the next several hours on this,work
development efforts are going well,work
the research is difficult but rewarding,work
the business of it all is related to data,work
social media represents our most important channel of communication,work
the market is hot right now,work
send me the template please,work
what article are you writing,work
what my bosses say is what goes,work
my assignment is to shoot this movie over the next month,work
visit the office,work
open the computer,work
Miss you so much,Miscellaneous
I love you mum,Miscellaneous
She is my dearest love,Miscellaneous
he is so cute,Miscellaneous
she is attractive,Miscellaneous
I adore my dogs,Miscellaneous
you two are cute,Miscellaneous
I missed you,Miscellaneous
I like you a lot,Miscellaneous
I miss him,Miscellaneous
my dog just had a few puppies,Miscellaneous
The baby is adorable,Miscellaneous
I love dogs,Miscellaneous
they are so kind and friendly,Miscellaneous
she is so cute,Miscellaneous
miss you my dear,Miscellaneous
I am looking for a date,Miscellaneous
Do you want to give me a hug,Miscellaneous
I love my dad,Miscellaneous
She is the cutest person I have ever seen,Miscellaneous
he is handsome,Miscellaneous
I love you,Miscellaneous
he is behaving like an ass,explicit
fuck you for doing this,explicit
you are a bastard,explicit
stop being a bitch,explicit
fuck her,explicit
he is a shit head who does not know how to behave like a fucking man,explicit
this is bullshit and you know it,explicit
stop the bullshit already,explicit
I woke up so fucking late today,explicit
I was so fucking late to the airport it is unbelievable,explicit
that was a fucking brilliant move on their end,explicit
they told us to eat shit,explicit
I grabbed the bastard by the ear and spoke quickly,explicit
Manually writing this and I am cussing a lot in this fucking sentence because I have to extend the fucking length a shit ton before I finally reach the end which results in a long ass sentence that can serve as the upper boundary of input sentence length shit,explicit