"I want to eat	",4
he is a prick,3
"he got a very nice raise	",2
"she got me a nice present	",2
"ha ha ha it was so funny	",2
"he is a good friend	",2
I am a fucking loser,3
"We had such a lovely dinner tonight	",2
"where is the food	",4
"Stop making this joke ha ha ha	",2
where is the sport played,1
work sucks dick,3
this girl is fucking around,3
want to fight me,3
"Let us go play sports	",1
this stupid grader is the worst,3
"black people are horrible	",3
"Congratulation for having a baby	",2
asian people piss me off,3
"any suggestions for dinner	",4
"I love taking breaks	",0
"you brighten my day	",2
"I boiled rice	",4
she is a fucking lunatic,3
why are you such a little bitch,3
quit the bullshit already,3
come play sports with me,1
"My grandmother is the love of my life	",0
enjoy your sporting even,1
"valentine day is near	",2
"I love you so much	",0
"throw the ball	",1
your life is meaningless,3
"she said yes	",2
"will you be my valentine	",2
"he can play sports really well	",1
"dance with me	",2
I am hungry,4
"See you at the restaurant	",4
"I like to laugh	",2
I will  run,1
"I love your jacket 	",0
"i have never loved anyone as much as I love her	",0
"what is your favorite baseball game	",1
"Good job	",2
"I love you to the stars and back	",0
"What you did was awesome	",2
"ha ha ha lol	",2
you can jump off a cliff,3
drink bleach,3
leave us alone forever,3
"family is where my hear is	",0
you are a failure at life,3
"Good joke	",2
"You deserve this nice prize	",2
I did not have breakfast ,4
are you gay,2